Path object_type object_name object_size parant_directory
C:\ Directory Python 381611 
C:\Python\ File users1.pickle 238 
C:\Python\.git Directory refs 246 .git
C:\Python\.git\hooks File update.sample 3650 hooks
C:\Python\.git\info File exclude 240 info
C:\Python\.git\logs Directory refs 5078 logs
C:\Python\.git\logs\refs Directory remotes 1470 refs
C:\Python\.git\logs\refs\heads File main 1069 heads
C:\Python\.git\logs\refs\remotes Directory origin 735 remotes
C:\Python\.git\logs\refs\remotes\origin File main 735 origin
C:\Python\.git\objects Directory pack 0 objects
C:\Python\.git\objects\09 File 2f2259f5023654218eda4d91afdcdf742c7650 335 09
C:\Python\.git\objects\11 File dcb82fe5a4a033f281b013404c1a325268dbac 155 11
C:\Python\.git\objects\1e File 197e407753281e7efff42ca4bf0d31e8204dc6 478 1e
C:\Python\.git\objects\29 File 9792d10158db4b21369e2e3dd834c91e215fe4 111 29
C:\Python\.git\objects\2a File fa2e27261f09705a67151e2ddfdea8a53c9d60 3514 2a
C:\Python\.git\objects\34 File 0ab9a317c2c94a9e3edc4e035d40c84b703eae 105 34
C:\Python\.git\objects\35 File 908de7d4bc19a11db79e15988055d8a122e69d 79 35
C:\Python\.git\objects\36 File 30a00c0ff90c71f518e01605717ad0055990b9 155 36
C:\Python\.git\objects\40 File 360d782b453bac51b9451b24dd12ae9c0cc5b4 144 40
C:\Python\.git\objects\42 File 568018b6eb981be10dbb3ba30e8dfcd9acd6e8 81 42
C:\Python\.git\objects\48 File 2d813dc333a0c88a05ce2e5812681afc3c176e 463 48
C:\Python\.git\objects\49 File d30d0f51b4ed439167d4c01742dcfb0c6c8870 289 49
C:\Python\.git\objects\4b File 2209b510f11b6065c3b20feb9024c928f0065b 510 4b
C:\Python\.git\objects\57 File 624ccc0308b76ed61652f5e92ea01840e77929 821 57
C:\Python\.git\objects\5d File 7c0e9706ffb4d9bdd9a45874a34101136c6ec5 154 5d
C:\Python\.git\objects\60 File 3c23dd2bbf41c4769e8caed3a37b324d034d55 106 60
C:\Python\.git\objects\63 File 42dd73eed9e6c53d205eb9ca7e43f8a0829773 106 63
C:\Python\.git\objects\64 File 8972bc4da968dab50aa3b9bfca0225c1b31c52 126 64
C:\Python\.git\objects\67 File d6b956e13f84307d0799dde80777c9d1950aa8 312 67
C:\Python\.git\objects\6a File 0c323c68e91afe07de048de4ab541e6f4eb1b7 42 6a
C:\Python\.git\objects\6b File fec0e41176c10d458a9ba1c757b4cd9ba2ba9b 1205 6b
C:\Python\.git\objects\6c File 5e7539d10dd2e2d97b9e332328cee7886ac431 169 6c
C:\Python\.git\objects\71 File eff2decf28847c3782cdccabdb8d6a5457ecc9 106 71
C:\Python\.git\objects\72 File bc3643d4d939653aac25fd0da7457b83f21b1d 240 72
C:\Python\.git\objects\82 File 694fe88b4efdf8aaddfa1e68f186d16d501174 269 82
C:\Python\.git\objects\85 File 88323e867144b7da22e01d7994912e402e37d8 78 85
C:\Python\.git\objects\86 File 49cee30a83428ca6eb7824502935f46830cc2e 955 86
C:\Python\.git\objects\8c File 38293335137713443ccd555d1adc9204ec8259 413 8c
C:\Python\.git\objects\93 File 76ed311bb53a66c169d3cdf8555cff265a627a 194 93
C:\Python\.git\objects\9b File ac4969e3797cc3c1ea8032aaf4d3c66c8c52f6 54 9b
C:\Python\.git\objects\9e File 0247632f3d55f003d97cf552811d761b996e0a 587 9e
C:\Python\.git\objects\ac File 439e65218f471bf3f9fa8647a6263549b9c7ef 277 ac
C:\Python\.git\objects\b2 File 7e16d6df8c442bfa371a44ab26f6fd787251e8 53 b2
C:\Python\.git\objects\b6 File bc001ab61afe214a7ce42bc018d4693ca50b1e 282 b6
C:\Python\.git\objects\b7 File 85d15d4947c016c7d5b79c8fee2ae42c0bfa69 318 b7
C:\Python\.git\objects\bf File 22ad4c0660e148817406f4158ea513962caae4 308 bf
C:\Python\.git\objects\c4 File a7c3bf3f676de21b13a205724f25e5296c7005 426 c4
C:\Python\.git\objects\c5 File eb1689ef0101711659b3b3272906b83f4acd1c 1080 c5
C:\Python\.git\objects\db File 87fa5a2a44405697a2c26993d0473240200b89 295 db
C:\Python\.git\objects\df File b699b5592bb1a219c298ea3caff2d0cfbfc9df 154 df
C:\Python\.git\objects\e6 File 9de29bb2d1d6434b8b29ae775ad8c2e48c5391 15 e6
C:\Python\.git\objects\ec File 0888c547cf3ec11c458a1d74a6404358000e8d 257 ec
C:\Python\.git\objects\ed File 762e0d8d1d0f8e870da5db9280abaf9bb5078a 480 ed
C:\Python\.git\refs Directory tags 0 refs
C:\Python\.git\refs\heads File main 41 heads
C:\Python\.git\refs\remotes Directory origin 41 remotes
C:\Python\.git\refs\remotes\origin File main 41 origin
C:\Python\HW-1 File Task2.py 1112 HW-1
C:\Python\HW-2 File Task2.py 2231 HW-2
C:\Python\HW-3 File Task3.py 926 HW-3
C:\Python\HW-4 File Task3.py 3424 HW-4
C:\Python\HW-5 File Task3.py 92 HW-5
C:\Python\HW-6 File Task3.py 461 HW-6
C:\Python\HW-7 Directory __pycache__ 2315 HW-7
C:\Python\HW-7\__pycache__ File Task2.cpython-311.pyc 1355 __pycache__
C:\Python\HW-8 File TaskHW.py 5063 HW-8
